A0A183 GO:0031424,
O60315 GO:0021846,GO:0021766,GO:0007399,GO:0001755,GO:0001843,GO:0043507,GO:0030177,GO:0001756,GO:0006351,GO:0046872,GO:0019208,GO:0043565,GO:0003700,GO:0005634,
O60318 GO:0006260,GO:0002376,GO:0051028,GO:0006606,GO:0003677,GO:0016746,GO:0005829,GO:0005643,GO:0005654,GO:0005634,
O60330 GO:0007156,GO:0005509,GO:0016021,GO:0005886,
O60331 GO:0030036,GO:0034333,GO:0007411,GO:0016337,GO:0072583,GO:0007016,GO:0030593,GO:0006909,GO:0006661,GO:0006644,GO:0070527,GO:0044281,GO:0048488,GO:0016079,GO:0016308,GO:0005524,GO:0005829,GO:0012505,GO:0005925,GO:0005634,GO:0001891,GO:0032587,GO:0001931,
O60337 GO:0070936,GO:0019899,GO:0031624,GO:0004842,GO:0008270,GO:0030176,
O60343 GO:0032869,GO:0061024,GO:0031339,GO:0016192,GO:0005097,GO:0005737,GO:0030659,
O60344 GO:0007420,GO:0010002,GO:0007267,GO:0007507,GO:0016486,GO:0046872,GO:0004222,GO:0008168,GO:0030659,GO:0000139,GO:0016021,
O60346 GO:0006915,GO:0009649,GO:0007173,GO:0038095,GO:0008543,GO:0045087,GO:0048011,GO:0048015,GO:0046872,GO:0004721,GO:0005829,GO:0016020,GO:0005634,
O60353 GO:0001525,GO:0007409,GO:0033278,GO:0001736,GO:0007199,GO:0008406,GO:0001942,GO:0042472,GO:0090090,GO:0043433,GO:0001843,GO:0035567,GO:0030168,GO:0060071,GO:0004930,GO:0030165,GO:0031625,GO:0042813,GO:0017147,GO:0045177,GO:0016327,GO:0005737,GO:0005887,GO:0032589,GO:0005886,
O60356 GO:0002526,GO:0016049,GO:0042771,GO:0008584,GO:0045786,GO:0048147,GO:0043065,GO:0031401,GO:0006473,GO:0006461,GO:2000194,GO:0006355,GO:0009636,GO:0035914,GO:0006351,GO:0003682,GO:0003677,GO:0005737,GO:0005634,
O60359 GO:0006816,GO:2000311,GO:0007268,GO:0005245,GO:0032281,GO:0030666,GO:0005886,GO:0005891,
O60361 GO:0006241,GO:0006183,GO:0006228,GO:0005524,GO:0046872,GO:0004550,
O60381 GO:0007050,GO:0043268,GO:0006355,GO:0006351,GO:0016055,GO:0003677,GO:0003723,GO:0005634,
O60383 GO:0007292,GO:0030308,GO:0001555,GO:0008284,GO:2000870,GO:0007179,GO:0008083,GO:0005615,
O60391 GO:0034220,GO:0035235,GO:0051205,GO:0051924,GO:0035249,GO:0005262,GO:0005261,GO:0005234,GO:0016594,GO:0004972,GO:0042165,GO:0030594,GO:0030054,GO:0030425,GO:0017146,GO:0043025,GO:0045211,
O60393 GO:0030154,GO:0048477,GO:0001541,GO:0045944,GO:0006351,GO:0043565,GO:0003700,GO:0005634,
O60422 GO:0031018,GO:0006357,GO:0006351,GO:0043565,GO:0003700,GO:0005634,GO:0005667,
O60423 GO:0007339,GO:0005524,GO:0019829,GO:0000287,GO:0004012,GO:0001669,GO:0016021,
O60437 GO:0031424,GO:0005200,GO:0005856,GO:0030057,GO:0070062,GO:0005739,GO:0005634,GO:0005886,
O60443 GO:0006915,GO:0060113,GO:0008285,GO:2001244,GO:0007605,GO:0005737,
O60446 GO:0007568,GO:0031145,GO:0008608,GO:0008283,GO:0034644,GO:0036089,GO:0043988,GO:0016570,GO:0007067,GO:0000278,GO:0002903,GO:0032091,GO:0000122,GO:0032467,GO:0046777,GO:0034501,GO:0006468,GO:0051983,GO:0031577,GO:0051256,GO:0043146,GO:0005524,GO:0035174,GO:0046872,GO:0004674,GO:0004712,GO:0010369,GO:0032133,GO:0000779,GO:0000780,GO:0005829,GO:0045171,GO:0030496,GO:0005634,GO:0005819,
O60447 GO:0007049,GO:0051301,GO:0008283,GO:0007275,GO:0005097,GO:0005794,GO:0043231,GO:0005815,GO:0005634,GO:0005819,
O60449 GO:0006897,GO:0006955,GO:0006954,GO:0030246,GO:0004872,GO:0070062,GO:0005887,
O60456 GO:0007596,GO:0030168,GO:0002576,GO:0005509,GO:0005783,GO:0005576,GO:0005794,GO:0042470,GO:0033018,
O60469 GO:0007155,GO:0048813,GO:0070593,GO:0007626,GO:0007162,GO:0007399,GO:0048842,GO:0042327,GO:0060060,GO:0030424,GO:0005576,GO:0030426,GO:0005887,GO:0016020,GO:0005886,
O60476 GO:0044267,GO:0048286,GO:0006491,GO:0043687,GO:0018279,GO:0007585,GO:0005509,GO:0004571,GO:0070062,GO:0005794,GO:0000139,GO:0016021,GO:0016020,GO:0005730,
O60477 GO:0007050,GO:0008219,GO:0045786,GO:0005737,
O60479 GO:0001568,GO:0071895,GO:0042475,GO:0001890,GO:0003682,GO:0001077,GO:0003700,GO:0000976,GO:0005634,
O60481 GO:0009952,GO:0030154,GO:0071907,GO:0035545,GO:0007368,GO:0071910,GO:0035469,GO:0001947,GO:0030324,GO:0045944,GO:0045893,GO:0006351,GO:0046872,GO:0043565,GO:0003700,GO:0005737,GO:0005634,
O60486 GO:0007411,GO:0007155,GO:0007165,GO:0004872,GO:0005102,GO:0016021,GO:0005622,GO:0005886,
O60487 GO:0009653,GO:0007156,GO:0033077,GO:0005856,GO:0016021,GO:0005886,
O60488 GO:0044255,GO:0060996,GO:0060136,GO:0015908,GO:0008610,GO:0006629,GO:0001676,GO:0035338,GO:0032307,GO:0030307,GO:0070672,GO:0007584,GO:0044281,GO:0019432,GO:0047676,GO:0005524,GO:0004467,GO:0031957,GO:0005737,GO:0005789,GO:0070062,GO:0016021,GO:0005811,GO:0005741,GO:0043025,GO:0005778,
O60494 GO:0008203,GO:0009235,GO:0015889,GO:0042157,GO:0042953,GO:0006898,GO:0044281,GO:0008202,GO:0001894,GO:0042359,GO:0006766,GO:0006767,GO:0005509,GO:0031419,GO:0042803,GO:0004872,GO:0005215,GO:0016324,GO:0031526,GO:0005905,GO:0005829,GO:0030139,GO:0005783,GO:0010008,GO:0070062,GO:0031232,GO:0005794,GO:0043202,GO:0005765,GO:0016020,GO:0005886,
O60496 GO:0007596,GO:0007166,GO:0050900,GO:0007265,GO:0007165,GO:0007169,GO:0005057,GO:0005829,
O60499 GO:0048193,GO:0006886,GO:0042147,GO:0006906,GO:0005484,GO:0000139,GO:0016021,GO:0031201,
O60500 GO:0007155,GO:0007588,GO:0032836,GO:0072015,GO:0007254,GO:0007520,GO:0030838,GO:0044062,GO:0007519,GO:0017022,GO:0042995,GO:0070062,GO:0005887,GO:0045121,GO:0005886,GO:0043234,GO:0036057,
O60504 GO:0007155,GO:0031589,GO:0006936,GO:0000122,GO:0051495,GO:0043410,GO:0051496,GO:0005200,GO:0017166,GO:0005856,GO:0005829,GO:0005925,GO:0005634,
O60507 GO:0006954,GO:0006478,GO:0008476,GO:0000139,GO:0016021,GO:0016020,
O60508 GO:0010467,GO:0031124,GO:0006406,GO:0000398,GO:0008380,GO:0006369,GO:0006366,GO:0044822,GO:0071013,GO:0005654,GO:0005681,
O60512 GO:0005975,GO:0044267,GO:0030203,GO:0018146,GO:0042339,GO:0043687,GO:0018279,GO:0044281,GO:0003831,GO:0008378,GO:0046872,GO:0003945,GO:0005737,GO:0070062,GO:0005794,GO:0032580,GO:0000139,GO:0016021,
O60513 GO:0005975,GO:0044267,GO:0030203,GO:0018146,GO:0042339,GO:0006643,GO:0043687,GO:0018279,GO:0044281,GO:0008378,GO:0046872,GO:0003945,GO:0032580,GO:0000139,GO:0016021,
O60516 GO:0045947,GO:0030371,GO:0016281,
O60518 GO:0015031,GO:0005737,GO:0005634,
O60519 GO:0007049,GO:0030154,GO:0045600,GO:0046326,GO:0046889,GO:0033138,GO:0045893,GO:0050821,GO:0007165,GO:0006351,GO:0043565,GO:0003700,GO:0005634,
O60522 GO:0007281,GO:0007275,GO:0007283,GO:0033391,GO:0005737,GO:0005783,GO:0043186,
O60542 GO:0007411,GO:0001658,GO:0007417,GO:0007399,GO:0005102,GO:0005615,
O60543 GO:0006309,GO:0008219,GO:0006629,GO:0019915,GO:0050710,GO:1900118,GO:0050995,GO:0030512,GO:0032720,GO:0010890,GO:1902510,GO:0042981,GO:0006355,GO:0035634,GO:0001659,GO:0006351,GO:0042803,GO:0005737,GO:0005811,GO:0005740,GO:0005739,GO:0005634,
O60547 GO:0042351,GO:0019673,GO:0007219,GO:0008446,GO:0070401,GO:0005737,GO:0070062,
O60548 GO:0048846,GO:0001658,GO:0051216,GO:0009790,GO:0048484,GO:0050935,GO:0001822,GO:0048937,GO:0030318,GO:0000122,GO:0001755,GO:0007389,GO:0007422,GO:0045944,GO:0051090,GO:0048485,GO:0006366,GO:0008301,GO:0003690,GO:0003705,GO:0043565,GO:0003700,GO:0008134,GO:0005634,GO:0005667,
O60551 GO:0075733,GO:0006499,GO:0007603,GO:0009249,GO:0022400,GO:0016056,GO:0016032,GO:0019082,GO:0019068,GO:0003824,GO:0004379,GO:0005737,GO:0005829,GO:0005794,GO:0005886,
O60563 GO:0007049,GO:0051301,GO:0010467,GO:0045944,GO:0050434,GO:0006468,GO:0000079,GO:0006368,GO:0006366,GO:0006367,GO:0006351,GO:0007179,GO:0016032,GO:0003682,GO:0003677,GO:0017069,GO:0044212,GO:0005654,GO:0005634,GO:0008024,
O60565 GO:0007171,GO:0006915,GO:0001658,GO:0002042,GO:0000902,GO:0007267,GO:0030199,GO:0048263,GO:0030326,GO:0003337,GO:0030514,GO:0030502,GO:1900158,GO:0046851,GO:1900155,GO:0090191,GO:0090090,GO:0030308,GO:0090027,GO:0033689,GO:0090291,GO:0060394,GO:0045892,GO:0045766,GO:0090190,GO:2000727,GO:0008284,GO:0042346,GO:0051092,GO:1900086,GO:2000273,GO:0002092,GO:0051973,GO:0045944,GO:0003257,GO:0009954,GO:0010717,GO:0051893,GO:0007165,GO:0060676,GO:0036122,GO:0016015,GO:0048018,GO:0030297,GO:0043184,GO:0009986,GO:0005615,
O60568 GO:0070831,GO:0006464,GO:0032870,GO:0030199,GO:0001886,GO:0048730,GO:0030198,GO:0001701,GO:0060425,GO:0021915,GO:0008104,GO:0042311,GO:0005506,GO:0031418,GO:0050211,GO:0033823,GO:0008475,GO:0005783,GO:0005789,GO:0070062,GO:0030867,
O60573 GO:0019221,GO:0001701,GO:0017148,GO:0044822,GO:0000339,GO:0008135,GO:0003743,GO:0031625,GO:0005829,GO:0005845,
O60575 GO:0042493,GO:0004867,GO:0005576,
O60583 GO:0007049,GO:0051301,GO:0010467,GO:0045944,GO:0000079,GO:0006368,GO:0006366,GO:0006367,GO:0006351,GO:0007179,GO:0016032,GO:0005654,GO:0005634,
O60603 GO:0006915,GO:0002752,GO:0071221,GO:0071726,GO:0071223,GO:0071224,GO:0071727,GO:0032289,GO:0042892,GO:0050830,GO:0042496,GO:0042495,GO:0007252,GO:0006955,GO:0052063,GO:0006954,GO:0045087,GO:0006691,GO:0031663,GO:0002282,GO:0002755,GO:0008285,GO:0044130,GO:0032695,GO:0032700,GO:0046209,GO:0052033,GO:0032722,GO:0050715,GO:0050729,GO:0032728,GO:0032733,GO:0032735,GO:0032741,GO:0032755,GO:0032757,GO:0002687,GO:0060907,GO:0042346,GO:0051092,GO:0045429,GO:0051770,GO:0048714,GO:0034123,GO:0045944,GO:0042535,GO:0032760,GO:0030177,GO:0070542,GO:0001666,GO:0032868,GO:0002238,GO:0032570,GO:0009636,GO:0007165,GO:0034134,GO:0034142,GO:0002224,GO:0038123,GO:0038124,GO:0042498,GO:0001875,GO:0070891,GO:0042834,GO:0046982,GO:0004872,GO:0008329,GO:0004888,GO:0042497,GO:0044297,GO:0042995,GO:0009986,GO:0005737,GO:0009897,GO:0005887,GO:0005886,GO:0035354,GO:0035355,
O60609 GO:0007399,GO:0001764,GO:0007422,GO:0007165,GO:0048485,GO:0008046,GO:0005102,GO:0031225,GO:0005737,GO:0009897,GO:0019898,GO:0043231,GO:0005886,
O60610 GO:0030041,GO:0071420,GO:0007010,GO:0031175,GO:0030335,GO:0035372,GO:0008360,GO:0032886,GO:0051279,GO:0007605,GO:0044325,GO:0044822,GO:0005102,GO:0005737,GO:0072686,GO:0043005,GO:0032587,
O60613 GO:0051084,GO:0008430,GO:0005788,
O60631 GO:0000086,GO:0000278,GO:0007275,GO:0007286,GO:0005198,GO:0005814,GO:0005813,GO:0005829,GO:0005874,GO:0001520,GO:0000922,
O60632 GO:0006884,GO:1902476,GO:0006821,GO:0006811,GO:0006813,GO:0055085,GO:0006810,GO:0015379,GO:0005887,GO:0005765,GO:0016020,GO:0005886,
O60636 GO:0007420,GO:0016021,GO:0043209,
O60641 GO:0048268,GO:0015031,GO:0005545,GO:0030118,GO:0005905,GO:0005886,
O60645 GO:0044267,GO:0006887,GO:0061024,GO:0015031,GO:0000145,GO:0030667,
O60656 GO:0044255,GO:0017144,GO:0051552,GO:0052696,GO:0008152,GO:0043086,GO:2001030,GO:0045922,GO:0042573,GO:0044281,GO:0052697,GO:0006805,GO:0019899,GO:0004857,GO:0015020,GO:0046982,GO:0042803,GO:0001972,GO:0016758,GO:0005789,GO:0016021,
O60662 GO:0030239,GO:0016567,GO:0031275,GO:0045661,GO:2000291,GO:2001014,GO:0035914,GO:0006941,GO:0031463,GO:0005737,GO:0005856,GO:0031430,GO:0031143,GO:0001726,
O60663 GO:0008219,GO:0008283,GO:0021954,GO:0021587,GO:0030199,GO:0071542,GO:0009953,GO:0001701,GO:0035108,GO:0030901,GO:0007275,GO:0030182,GO:0001764,GO:0035265,GO:0045944,GO:0006355,GO:0002930,GO:0006351,GO:0043565,GO:0003700,GO:0008270,GO:0005634,
O60664 GO:0016192,GO:0005737,GO:0005768,GO:0010008,GO:0005794,GO:0043231,GO:0005811,
O60667 GO:0006968,GO:0002376,GO:0043066,GO:0005576,GO:0016021,
O60669 GO:0035873,GO:1901475,GO:0055085,GO:0015129,GO:0005477,GO:0050833,GO:0015355,GO:0015293,GO:0005887,GO:0005886,
O60671 GO:0000075,GO:0006974,GO:0071479,GO:0000077,GO:0006281,GO:0006260,GO:0007128,GO:0090305,GO:0021762,GO:0008408,GO:0003684,GO:0008853,GO:0043231,GO:0005654,GO:0005634,
O60673 GO:0006261,GO:0019985,GO:0051539,GO:0003677,GO:0003887,GO:0046872,GO:0000166,GO:0005694,GO:0005634,GO:0016035,
O60674 GO:0030041,GO:0006919,GO:0097296,GO:0042977,GO:0000186,GO:0006915,GO:0031103,GO:0007596,GO:0030154,GO:0006928,GO:0019221,GO:0007167,GO:0030218,GO:0097191,GO:0007186,GO:0060396,GO:0035409,GO:0009755,GO:0034050,GO:0060333,GO:0035722,GO:0035556,GO:0008631,GO:0007259,GO:0060397,GO:0061180,GO:0007498,GO:0031959,GO:0008285,GO:0022408,GO:0043392,GO:0045822,GO:0043524,GO:0018108,GO:0048008,GO:0043065,GO:2001235,GO:0050867,GO:0045597,GO:0030335,GO:0008284,GO:0010811,GO:0007204,GO:0043388,GO:0060399,GO:0050729,GO:0032024,GO:0032731,GO:0045429,GO:0051770,GO:0050731,GO:0014068,GO:0032516,GO:0033160,GO:0051091,GO:0032760,GO:0042517,GO:0042523,GO:0046777,GO:0006468,GO:0050727,GO:0060334,GO:0046677,GO:0033194,GO:0070671,GO:0032496,GO:0034612,GO:0007165,GO:0007262,GO:0033209,GO:0007260,GO:0042508,GO:0042503,GO:0042506,GO:0005524,GO:0005131,GO:0020037,GO:0042393,GO:0035401,GO:0005143,GO:0004715,GO:0004672,GO:0019901,GO:0004713,GO:0005102,GO:0042169,GO:0005901,GO:0005737,GO:0005856,GO:0005829,GO:0031904,GO:0045121,GO:0016363,GO:0005634,
O60675 GO:0007596,GO:0007399,GO:0006351,GO:0043565,GO:0003700,GO:0005654,
O60676 GO:0010951,GO:0004869,GO:0009986,GO:0005737,GO:0005576,
O60678 GO:0034969,GO:0031397,GO:0019919,GO:0006355,GO:0008469,GO:0046872,GO:0008168,GO:0072341,GO:0016274,GO:0035242,GO:0005737,GO:0005829,GO:0005840,
O60682 GO:0014707,GO:0060539,GO:0060021,GO:0006366,GO:0003677,GO:0003700,GO:0003714,GO:0005634,
O60683 GO:0007031,GO:0016558,GO:0008022,GO:0008270,GO:0005779,GO:0005622,GO:0005778,GO:0005777,
O60684 GO:0060135,GO:0006607,GO:0045944,GO:0008565,GO:0005737,GO:0005634,
O60687 GO:0001525,GO:0048870,GO:0016337,GO:0090050,GO:0051965,GO:0042325,GO:0036458,GO:0042802,GO:0005102,GO:0030054,GO:0009986,GO:0005737,GO:0060076,GO:0005615,GO:0097060,
O60688 GO:0051898,GO:0031641,GO:0005634,
O60701 GO:0052695,GO:0001702,GO:0006024,GO:0044281,GO:0006011,GO:0006065,GO:0006805,GO:0009055,GO:0051287,GO:0003979,GO:0005829,GO:0005634,
O60704 GO:0007342,GO:0006478,GO:0060468,GO:0008476,GO:0005783,GO:0000139,GO:0016021,GO:0016020,
O60706 GO:0051607,GO:0010107,GO:0006813,GO:0007165,GO:0007268,GO:0055085,GO:0005524,GO:0042626,GO:0044325,GO:0005267,GO:0015459,GO:0008281,GO:0005215,GO:0008282,GO:0005886,GO:0042383,GO:0030017,GO:0008076,
O60711 GO:0007155,GO:0050859,GO:0007162,GO:0006461,GO:0033628,GO:0006355,GO:0007165,GO:0006351,GO:0003712,GO:0008270,GO:0042995,GO:0005737,GO:0005925,GO:0005634,GO:0048471,GO:0005886,GO:0002102,
O60721 GO:0006816,GO:0006811,GO:0007603,GO:0009642,GO:0016056,GO:0035725,GO:0055085,GO:0006810,GO:0007601,GO:0008273,GO:0015293,GO:0005887,GO:0016020,GO:0019867,GO:0005886,
O60725 GO:0006481,GO:0006464,GO:0001701,GO:0001889,GO:0035264,GO:0008284,GO:0006612,GO:0046578,GO:0008140,GO:0003880,GO:0004671,GO:0005783,GO:0005789,GO:0016021,GO:0016020,
O60729 GO:0051488,GO:0006281,GO:0031572,GO:0035335,GO:0006470,GO:0004722,GO:0004725,GO:0008138,GO:0031965,GO:0005730,GO:0005654,GO:0005634,
O60733 GO:0035965,GO:0032049,GO:0008219,GO:0006935,GO:0038096,GO:0046474,GO:0045087,GO:0016042,GO:0060135,GO:0007613,GO:0051967,GO:0036151,GO:0036152,GO:0006644,GO:0090238,GO:2000304,GO:0007204,GO:0045921,GO:0035774,GO:0090037,GO:0001934,GO:0090200,GO:0045909,GO:1901339,GO:0034976,GO:0044281,GO:0014832,GO:0047499,GO:0004623,GO:0005829,GO:0016020,GO:0005739,
O60739 GO:0006446,GO:0044822,GO:0003743,
O60741 GO:0045176,GO:0071320,GO:0071805,GO:0006813,GO:0042391,GO:0046549,GO:0035725,GO:0007268,GO:0030552,GO:0005222,GO:0005267,GO:0005249,GO:0005248,GO:0030424,GO:0030425,GO:0016021,GO:0005887,GO:0005886,
O60755 GO:0007193,GO:0007631,GO:0007611,GO:0007194,GO:0007218,GO:0007268,GO:0004966,GO:0016021,GO:0005886,
O60759 GO:0030155,GO:0005938,GO:0005737,GO:0005769,GO:0005634,
O60760 GO:0019369,GO:0019371,GO:1901687,GO:0007626,GO:0006693,GO:0007165,GO:0044281,GO:0006805,GO:0005509,GO:0004364,GO:0000287,GO:0004667,GO:0042803,GO:0005737,GO:0005829,
O60762 GO:0006501,GO:0044267,GO:0019348,GO:0006488,GO:0019673,GO:0006506,GO:0043687,GO:0035268,GO:0018279,GO:0035269,GO:0043178,GO:0004582,GO:0004169,GO:0005537,GO:0033185,GO:0005783,GO:0005789,GO:0016020,
O60763 GO:0006888,GO:0048211,GO:0006886,GO:0061025,GO:0000278,GO:0045056,GO:0048280,GO:0044822,GO:0008565,GO:0005829,GO:0005783,GO:0012507,GO:0005794,GO:0000139,GO:0005795,GO:0005730,
O60765 GO:0001822,GO:0000122,GO:0007576,GO:0006357,GO:0006355,GO:0051593,GO:0001666,GO:0007605,GO:0006351,GO:0003677,GO:0046872,GO:0003700,GO:0005730,GO:0005634,
O60779 GO:0015884,GO:0044281,GO:0071934,GO:0015888,GO:0042723,GO:0006766,GO:0006767,GO:0008517,GO:0015234,GO:0015403,GO:0016021,GO:0005886,
O60783 GO:0006412,GO:0044822,GO:0003735,GO:0005761,GO:0005739,GO:0031965,
O60784 GO:0006897,GO:0016197,GO:0006886,GO:0015031,GO:0030276,GO:0005737,GO:0005829,GO:0005769,GO:0005768,GO:0070062,GO:0016020,
O60806 GO:0009653,GO:0045165,GO:0021983,GO:0045944,GO:0045595,GO:0042127,GO:0006357,GO:0006351,GO:0001158,GO:0003700,GO:0005634,
O60809 GO:0043066,GO:0045596,GO:0048387,GO:0045892,GO:0008284,
O60810 GO:0043066,GO:0045596,GO:0048387,GO:0045892,GO:0008284,
O60811 GO:0043066,GO:0045596,GO:0048387,GO:0045892,GO:0008284,
O60813 GO:0043066,GO:0045596,GO:0048387,GO:0045892,GO:0008284,
O60814 GO:0006325,GO:0042742,GO:0006334,GO:0003677,GO:0005654,GO:0000786,
O60825 GO:0005975,GO:0046835,GO:0006003,GO:0006000,GO:0006006,GO:0006096,GO:0006089,GO:0033133,GO:0032024,GO:0006090,GO:0009749,GO:0044281,GO:0003873,GO:0005524,GO:0004331,GO:0019901,GO:0005829,
O60830 GO:0044267,GO:0006626,GO:0015450,GO:0031305,GO:0005744,
O60831 GO:0015813,GO:0015031,GO:0010008,GO:0016021,
O60832 GO:0008283,GO:0001522,GO:0006396,GO:0006364,GO:0000723,GO:0007004,GO:0044822,GO:0009982,GO:0003723,GO:0003720,GO:0015030,GO:0005737,GO:0005730,GO:0005654,GO:0005634,GO:0005697,
O60840 GO:0007409,GO:0006874,GO:0048813,GO:0050908,GO:0060041,GO:0007601,GO:0046872,GO:0005245,GO:0016021,GO:0043204,GO:0001750,GO:0005891,
O60841 GO:0044267,GO:0010467,GO:0006446,GO:0006412,GO:0006413,GO:0005525,GO:0003924,GO:0044822,GO:0003743,GO:0005829,
O60844 GO:0015031,GO:0060205,GO:0031012,GO:0005796,GO:0005578,GO:0042589,
O60858 GO:0009653,GO:0030433,GO:0045087,GO:1902187,GO:0032897,GO:0010942,GO:0043123,GO:0016239,GO:0051092,GO:0043161,GO:0051865,GO:0010332,GO:0007165,GO:0004871,GO:0004842,GO:0008270,GO:0005737,GO:0005789,GO:0016021,GO:0097038,
O60861 GO:0051017,GO:0030041,GO:0007050,GO:0048812,GO:0008360,GO:0006355,GO:0003700,GO:0005884,GO:0005737,GO:0001726,
O60869 GO:0045446,GO:0007275,GO:0043388,GO:0045893,GO:0019216,GO:0006355,GO:0006351,GO:0044822,GO:0043565,GO:0003713,GO:0005737,GO:0005622,GO:0005730,GO:0005634,
O60870 GO:0006974,GO:0006310,GO:0006281,GO:0006260,GO:0006397,GO:0016032,GO:0003677,GO:0003690,GO:0046872,GO:0003723,GO:0005737,GO:0016363,GO:0005634,
O60879 GO:0030041,GO:0030154,GO:0000910,GO:0007292,GO:0007275,GO:0048477,GO:0005102,GO:0005829,GO:0005769,
O60880 GO:0007267,GO:0006968,GO:0006959,GO:0045954,GO:0009967,GO:0005070,GO:0005737,
O60882 GO:0097186,GO:0030574,GO:0022617,GO:0030198,GO:0006508,GO:0070173,GO:0005509,GO:0004222,GO:0008270,GO:0005576,GO:0005615,GO:0005578,
O60884 GO:0008284,GO:0006457,GO:0009408,GO:0005524,GO:0046872,GO:0070062,GO:0016020,
O60885 GO:0006974,GO:0006338,GO:0007059,GO:0044154,GO:0043983,GO:0001833,GO:2000002,GO:0043388,GO:0010971,GO:0043123,GO:0032968,GO:0045944,GO:0006468,GO:0050727,GO:1901407,GO:0000083,GO:0006351,GO:0016032,GO:0003682,GO:0003677,GO:0070577,GO:0002039,GO:0005694,GO:0000794,GO:0005737,GO:0000790,GO:0005634,
O60888 GO:0008104,GO:0010038,GO:0019899,GO:0070062,GO:0016020,
O60890 GO:0030036,GO:0007411,GO:0007399,GO:0030100,GO:0051056,GO:0051966,GO:0007165,GO:0007264,GO:0006930,GO:0048488,GO:0005543,GO:0005100,GO:0015629,GO:0030054,GO:0005829,GO:0043197,GO:0043195,
O60894 GO:0001525,GO:0006816,GO:0006886,GO:0030819,GO:0060050,GO:0072659,GO:0015031,GO:0031623,GO:0008277,GO:0004948,GO:0031716,GO:0015026,GO:0008565,GO:0004872,GO:0009986,GO:0005615,GO:0005887,GO:0005886,GO:0043235,
O60895 GO:0034333,GO:0001525,GO:0070831,GO:0006816,GO:0006171,GO:0032870,GO:0035924,GO:0007565,GO:0007186,GO:0007507,GO:0006886,GO:2000352,GO:0043116,GO:0045766,GO:0030819,GO:0010628,GO:2001214,GO:0072659,GO:0015031,GO:0031623,GO:0008217,GO:0008277,GO:0032355,GO:0001666,GO:0032570,GO:0002040,GO:0070830,GO:0097084,GO:0001570,GO:0015026,GO:0008565,GO:0009986,GO:0005905,GO:0005737,GO:0005887,GO:0005764,GO:0005886,GO:0043235,
O60896 GO:0006816,GO:0071392,GO:0086103,GO:0006886,GO:0045892,GO:0090004,GO:0001921,GO:0072659,GO:0015031,GO:0031623,GO:0008277,GO:0015026,GO:0008565,GO:0004872,GO:0009986,GO:0005887,GO:0005622,GO:0005764,GO:0005886,GO:0043235,
O60902 GO:0003209,GO:0060351,GO:0002063,GO:0048557,GO:0035115,GO:0060272,GO:0007507,GO:0003170,GO:0060415,GO:0000122,GO:0007399,GO:0001649,GO:0050772,GO:0002053,GO:0048743,GO:0045880,GO:0045944,GO:2000172,GO:0032330,GO:0001501,GO:0003700,GO:0000976,GO:0005634,
O60906 GO:0097190,GO:0046513,GO:0006687,GO:0048011,GO:0009612,GO:0044281,GO:0006665,GO:0006684,GO:0046872,GO:0004767,GO:0005901,GO:0005887,GO:0005886,
O60907 GO:0060070,GO:0044255,GO:0000122,GO:0007219,GO:0045944,GO:0045893,GO:0043161,GO:0006508,GO:0007605,GO:0044281,GO:0006351,GO:0008013,GO:0042393,GO:0008022,GO:0019904,GO:0003714,GO:0008134,GO:0044212,GO:0005654,GO:0005634,GO:0005876,GO:0017053,
O60911 GO:0019886,GO:0048102,GO:0009267,GO:0046697,GO:0022617,GO:0030198,GO:0010259,GO:0021675,GO:0051384,GO:0009749,GO:0034698,GO:0060008,GO:0007283,GO:0004177,GO:0004197,GO:0008234,GO:0042277,GO:0009897,GO:0005576,GO:0043202,GO:0005902,GO:0043005,GO:0043204,
O60921 GO:0006974,GO:0071479,GO:0000077,GO:0006281,GO:0006260,GO:0000724,GO:0009790,GO:0007093,GO:0008156,GO:0006468,GO:0001932,GO:0009411,GO:0030896,GO:0005737,GO:0005730,GO:0005654,GO:0005634,
O60925 GO:0051084,GO:0030036,GO:0042113,GO:0007049,GO:0044267,GO:0021549,GO:0006457,GO:0006355,GO:0021537,GO:0003700,GO:0016272,
O60928 GO:0071805,GO:0006813,GO:0005242,GO:0016021,
O60930 GO:0006264,GO:0006401,GO:0090501,GO:0000287,GO:0003676,GO:0004540,GO:0003723,GO:0004523,GO:0005739,GO:0005634,
O60931 GO:0007628,GO:0046034,GO:0007420,GO:0006520,GO:0050890,GO:0048058,GO:0006749,GO:0007625,GO:0015811,GO:0007616,GO:0008542,GO:0015184,GO:0070062,GO:0016021,GO:0045111,GO:0043231,GO:0005770,GO:0005765,GO:0005764,GO:0005886,
O60934 GO:0001832,GO:0007050,GO:0008283,GO:0000077,GO:0030330,GO:0032508,GO:0006281,GO:0006302,GO:0000724,GO:0097193,GO:0045190,GO:0007126,GO:0007093,GO:0007095,GO:0050885,GO:0033674,GO:0031954,GO:0030174,GO:0000723,GO:0003684,GO:0047485,GO:0008134,GO:0030870,GO:0000784,GO:0042405,GO:0005730,GO:0005654,GO:0005634,GO:0016605,GO:0005657,GO:0035861,
O60936 GO:0006915,GO:0006397,GO:0043066,GO:0008380,GO:0042802,GO:0003723,GO:0005829,GO:0005739,GO:0005730,GO:0016528,
